HomeTeam,AwayTeam,Date,HomeGoals,AwayGoals,League,Season
Chelsea,Crystal Palace,2022-09-17,1,2,Premier League,2022-23
Tottenham,Leicester,2022-09-17,6,2,Premier League,2022-23
Manchester United,Leeds,2022-10-02,0,0,Premier League,2022-23
Arsenal,Tottenham,2022-10-01,3,1,Premier League,2022-23
Manchester City,Southampton,2022-10-08,4,0,Premier League,2022-23
Chelsea,Wolves,2022-10-08,3,0,Premier League,2022-23
Liverpool,Manchester City,2022-10-16,1,0,Premier League,2022-23
Tottenham,Brighton,2022-10-22,0,1,Premier League,2022-23
Newcastle,Everton,2022-10-19,4,1,Premier League,2022-23
Arsenal,Southampton,2022-10-23,1,0,Premier League,2022-23
Manchester United,Tottenham,2022-10-19,2,0,Premier League,2022-23
Chelsea,Manchester United,2022-10-22,1,1,Premier League,2022-23
Manchester City,Brighton,2022-10-22,3,1,Premier League,2022-23
Liverpool,West Ham,2022-10-19,1,0,Premier League,2022-23
Arsenal,Nottingham Forest,2022-10-30,5,0,Premier League,2022-23
Chelsea,Arsenal,2022-11-06,0,1,Premier League,2022-23
Manchester City,Leicester,2022-10-29,1,0,Premier League,2022-23
Tottenham,Bournemouth,2022-10-29,3,2,Premier League,2022-23
Liverpool,Leeds,2022-10-29,2,1,Premier League,2022-23
Newcastle,Aston Villa,2022-10-29,4,0,Premier League,2022-23
Arsenal,Chelsea,2022-11-06,1,0,Premier League,2022-23
Manchester United,West Ham,2022-11-06,1,0,Premier League,2022-23
Manchester City,Fulham,2022-11-05,2,1,Premier League,2022-23
Tottenham,Liverpool,2022-11-06,1,2,Premier League,2022-23
Wolves,Brighton,2022-11-12,0,3,Premier League,2022-23
Leicester,Manchester City,2022-12-26,0,1,Premier League,2022-23
Arsenal,West Ham,2022-12-26,3,1,Premier League,2022-23
Manchester United,Nottingham Forest,2022-12-27,3,0,Premier League,2022-23
Chelsea,Bournemouth,2022-12-27,2,0,Premier League,2022-23
Newcastle,Leicester,2022-12-26,3,0,Premier League,2022-23
Tottenham,Crystal Palace,2022-12-26,4,0,Premier League,2022-23
Liverpool,Aston Villa,2022-12-26,3,1,Premier League,2022-23
Manchester City,Leeds,2022-12-28,3,1,Premier League,2022-23
Brentford,Tottenham,2022-12-26,2,2,Premier League,2022-23
Fulham,Southampton,2022-12-26,2,1,Premier League,2022-23
Arsenal,Newcastle,2023-01-03,0,0,Premier League,2022-23
Manchester United,Bournemouth,2023-01-03,3,0,Premier League,2022-23
Liverpool,Brentford,2023-01-02,3,0,Premier League,2022-23
Chelsea,Manchester City,2023-01-05,0,1,Premier League,2022-23
Tottenham,Aston Villa,2023-01-01,2,0,Premier League,2022-23
Newcastle,Leeds,2023-01-04,0,0,Premier League,2022-23
Leicester,Fulham,2023-01-02,0,0,Premier League,2022-23
Arsenal,Manchester City,2023-02-15,1,3,Premier League,2022-23
Manchester United,Leicester,2023-02-19,3,0,Premier League,2022-23
Liverpool,Newcastle,2023-02-18,2,0,Premier League,2022-23
Chelsea,Southampton,2023-02-18,1,0,Premier League,2022-23
Tottenham,Manchester City,2023-02-05,0,1,Premier League,2022-23
Newcastle,Brighton,2023-02-18,4,1,Premier League,2022-23
Brentford,Arsenal,2023-02-11,1,1,Premier League,2022-23
Leeds,Manchester United,2023-02-12,2,4,Premier League,2022-23
Arsenal,Everton,2023-03-01,4,0,Premier League,2022-23
Manchester City,Newcastle,2023-03-04,2,0,Premier League,2022-23
Liverpool,Manchester United,2023-03-05,7,0,Premier League,2022-23
Chelsea,Leeds,2023-03-04,1,0,Premier League,2022-23
Tottenham,Nottingham Forest,2023-03-11,3,1,Premier League,2022-23
Newcastle,Wolves,2023-03-12,2,1,Premier League,2022-23
Arsenal,Fulham,2023-03-12,3,0,Premier League,2022-23
Manchester United,Southampton,2023-03-12,0,0,Premier League,2022-23
Arsenal,Crystal Palace,2023-03-18,4,1,Premier League,2022-23
Manchester City,West Ham,2023-03-04,3,0,Premier League,2022-23
Liverpool,Bournemouth,2023-03-11,4,0,Premier League,2022-23
Chelsea,Everton,2023-03-18,2,0,Premier League,2022-23
Tottenham,Southampton,2023-03-18,3,3,Premier League,2022-23
Newcastle,Nottingham Forest,2023-03-17,2,1,Premier League,2022-23
Arsenal,Leeds,2023-04-01,4,1,Premier League,2022-23
Manchester United,Everton,2023-04-08,2,0,Premier League,2022-23
Manchester City,Liverpool,2023-04-01,4,1,Premier League,2022-23
Chelsea,Aston Villa,2023-04-01,2,0,Premier League,2022-23
Tottenham,Brighton,2023-04-08,2,1,Premier League,2022-23
Newcastle,Manchester United,2023-04-02,0,2,Premier League,2022-23
Liverpool,Arsenal,2023-04-09,2,2,Premier League,2022-23
Arsenal,Southampton,2023-04-21,3,3,Premier League,2022-23
Manchester City,Fulham,2023-04-22,2,1,Premier League,2022-23
Chelsea,Brighton,2023-04-15,1,2,Premier League,2022-23
Manchester United,Aston Villa,2023-04-30,1,0,Premier League,2022-23
Liverpool,Tottenham,2023-04-30,4,3,Premier League,2022-23
Newcastle,Southampton,2023-04-26,1,1,Premier League,2022-23
Arsenal,Chelsea,2023-05-02,3,1,Premier League,2022-23
Manchester City,Arsenal,2023-04-26,4,1,Premier League,2022-23
Tottenham,Manchester United,2023-04-27,2,2,Premier League,2022-23
Chelsea,Newcastle,2023-05-02,2,0,Premier League,2022-23
Liverpool,Brentford,2023-05-06,1,0,Premier League,2022-23
Arsenal,Brighton,2023-05-14,3,0,Premier League,2022-23
Manchester City,Everton,2023-05-14,3,0,Premier League,2022-23
Chelsea,Nottingham Forest,2023-05-13,2,0,Premier League,2022-23
Manchester United,Chelsea,2023-05-25,4,1,Premier League,2022-23
Tottenham,Aston Villa,2023-05-20,1,0,Premier League,2022-23
Newcastle,Brighton,2023-05-20,4,1,Premier League,2022-23
Liverpool,Aston Villa,2023-05-20,1,1,Premier League,2022-23
Arsenal,Wolves,2023-05-28,5,0,Premier League,2022-23
Manchester City,Chelsea,2023-05-21,1,0,Premier League,2022-23
